tissue,cq,cq_mean,cq_std,sq,sqmean,sq_std,logSQ,positive,organism_num,day,temp,titer,plate
Abd,35.42,36.43,0.87,71.7,41.7,25.9,1.855519156,1,13,3,33C,e7,3
LW,35.36,36.96,2.26,74.8,42.1,46.3,1.873901598,1,13,3,33C,e7,3
Sal,0,0,0,0,0,0,0,0,13,3,33C,e7,3
Abd,36.95,37.04,0.08,26.4,25,1.36,1.421603927,0,14,3,33C,e7,3
LW,35.54,36.7,1.16,66.3,37.4,26.3,1.821513528,1,14,3,33C,e7,3
Sal,0,0,0,0,0,0,0,0,14,3,33C,e7,3
Abd,36.82,37.25,0.49,28.8,22.5,6.79,1.459392488,0,15,3,33C,e7,3
LW,33.26,33.48,0.32,294,257,50,2.46834733,1,15,3,33C,e7,3
Sal,0,38.91,0.77,0,7.87,3.8,0,0,15,3,33C,e7,3
Abd,0,37.58,0.85,0,18.9,9.93,0,0,16,3,33C,e7,3
LW,34.89,35.15,0.25,101,86.2,14,2.004321374,1,16,3,33C,e7,3
Sal,0,0,0,0,0,0,0,0,16,3,33C,e7,3
Abd,34.65,34.72,0.1,186,179,11.5,2.269512944,1,17,3,33C,e7,3
LW,35.38,35.93,0.61,118,87.5,31.1,2.071882007,1,17,3,33C,e7,3
Sal,39.63,39.84,0.36,8.09,7.2,1.51,0.907948522,0,17,3,33C,e7,3
Abd,37.05,37.49,0.7,41.1,33.1,12.5,1.613841822,0,18,3,33C,e7,3
LW,36.58,37.09,0.48,55.4,41.4,12.8,1.743509765,0,18,3,33C,e7,3
Sal,38.42,38.97,0.5,17.4,12.7,4.16,1.240549248,0,18,3,33C,e7,3
Abd,31.4,31.6,0.21,1449,1285,166,3.161068385,1,19,3,33C,e7,3
LW,34.67,34.96,0.26,184,155,26,2.264817823,1,19,3,33C,e7,3
Sal,0,38.62,0.92,0,16.6,9.12,0,0,19,3,33C,e7,3
Abd,36.99,37.3,0.31,42.8,35.7,6.96,1.631443769,0,20,3,33C,e7,3
LW,37.37,38.62,1.09,33.7,18.1,13.5,1.527629901,0,20,3,33C,e7,3
Sal,0,0,0,0,0,0,0,0,20,3,33C,e7,3
Abd,30.42,30.63,0.19,2896,2540,309,3.461798558,1,1,7,30C,e7,1
LW,31.9,32.21,0.27,1144,951,169,3.058426024,1,1,7,30C,e7,1
Sal,39.17,39.61,0.7,11.9,9.57,3.6,1.075546961,0,1,7,30C,e7,1
Abd,30.84,31.14,0.26,2215,1854,313,3.345373731,1,2,7,30C,e7,1
LW,32.98,33.4,0.36,580,453,110,2.763427994,1,2,7,30C,e7,1
Sal,0,37.43,0.74,0,37.3,16.8,0,0,2,7,30C,e7,1
Abd,29.93,30.36,0.43,3940,3076,825,3.595496222,1,3,7,30C,e7,1
LW,32.9,32.97,0.1,607,585,35.8,2.783188691,1,3,7,30C,e7,1
Sal,0,39.04,0.11,0,12.8,0.922,0,0,3,7,30C,e7,1
Abd,28.72,28.86,0.12,8408,7739,596,3.924692703,1,4,7,30C,e7,1
LW,33.08,33.13,0.05,543,526,15.3,2.73479983,1,4,7,30C,e7,1
Sal,0,0,0,0,0,0,0,0,4,7,30C,e7,1
