tissue,cq,cq_mean,cq_std,sq,sq_std,logSQ,sqmean,day,temp,titer,positive,organism_num,plate
Sal,29.06720908,23.0763994,9.545208113,2221.528831,25577128.57,3.346651954,14770031.8,3,30C,e7,1,3,1
Abd,36.01415885,35.65495593,0.368952081,38.85017986,10.47501602,1.589393034,48.63518831,3,30C,e7,0,4,1
LW,37.80157252,35.79300221,1.880192119,13.71701293,53.90626063,1.137259548,62.08603778,3,30C,e7,0,4,1
Sal,12.62804672,28.01112512,13.33392333,31989266.23,18468983.13,7.505004278,10663121.47,3,30C,e7,0,4,1
Abd,34.7299278,35.34311156,0.903386623,603.0475515,169.9190171,2.780351558,481.4352394,3,30C,e7,0,5,2
LW,33.3419618,33.99473554,1.368400737,1124.985148,457.5361354,3.051146789,935.7734088,3,30C,e7,0,5,2
Sal,35.33345638,35.8311193,0.65564491,459.8347633,102.2164173,2.662601801,377.9142524,3,30C,e7,0,5,2
Abd,37.09923927,39.39344036,4.508573522,208.0145245,138.6011443,2.31809366,162.7661722,3,30C,e7,0,6,2
LW,36.04840734,34.90728928,0.990757182,333.5134011,224.2567758,2.523113289,591.1172916,3,30C,e7,0,6,2
Sal,34.61748101,34.79821826,0.587502172,634.293374,147.7852193,2.802290175,597.9841456,3,30C,e7,0,6,2
Abd,36.37992665,35.76488638,0.534009503,287.3645159,85.56464725,2.45843314,385.7891362,3,30C,e7,0,7,2
LW,33.45247357,33.58698612,0.116507541,1070.497599,53.56442661,3.029585698,1008.654605,3,30C,e7,0,7,2
Sal,18.47739607,29.08467962,9.187714179,893832.9781,515647.6371,5.951256374,298414.3771,3,30C,e7,1,7,2
Abd,31.73583974,32.90382511,1.013716951,2314.753492,728.5217779,3.364504748,1474.32501,3,30C,e7,0,8,2
LW,34.53576914,35.23481904,0.887711856,658.0097687,179.8335466,2.818232341,504.9500697,3,30C,e7,0,8,2
Sal,34.66864567,26.8259235,14.82914167,619.8803022,26353066.3,2.792307836,15215423.76,3,30C,e7,0,8,2
Abd,31.5641022,32.84096503,1.173657367,2500.409381,844.5878835,3.39801112,1549.5897,3,30C,e7,1,9,2
LW,33.37284337,33.71394357,0.303358615,1109.485743,134.111657,3.045121726,957.8797594,3,30C,e7,0,9,2
Sal,34.92196477,33.82448119,0.95868788,553.203248,356.8259841,2.742884721,958.2650778,3,30C,e7,0,9,2
Abd,31.01165609,31.1777034,0.996783515,3204.753092,1312.053709,3.505794575,3169.216214,3,30C,e7,1,10,2
LW,33.61539875,33.57975387,0.092094897,994.9439955,42.26786183,2.997798635,1011.585218,3,30C,e7,0,10,2
Sal,37.22900023,36.83342922,0.449488272,196.2352448,49.14180956,2.292777011,237.6586815,3,30C,e7,0,10,2
Abd,32.92190053,32.90379162,0.151112316,1358.631466,93.63197608,3.133101669,1371.842694,3,30C,e7,0,11,2
LW,34.45984426,34.25285158,0.18398608,680.8406097,60.68981662,2.833045452,748.8699511,3,30C,e7,0,11,2
Sal,34.59887662,34.21519211,0.534830825,639.6169038,195.9739019,2.805919933,775.24548,3,30C,e7,0,11,2
Abd,1.872625087,24.11085427,19.28009055,1551971865,896031072.5,9.190883844,517324302.9,3,30C,e7,0,12,2
LW,34.30946728,34.68685919,0.367239088,728.4241455,102.7315385,2.862384333,620.4463265,3,30C,e7,0,12,2
Sal,36.90866774,35.56389963,1.170656861,226.6076597,195.7290703,2.355274586,449.9510159,3,30C,e7,0,12,2
Abd,38.02317144,28.11788722,15.49231595,0.700318478,34146169.92,-0.154704414,19714302.01,3,30C,e7,0,13,3
LW,32.84755843,28.37914847,10.8097544,21.04848767,760044.8798,1.323220897,438823.7724,3,30C,e7,0,13,3
Sal,8.282532444,24.99437234,14.47349313,217721740.5,125701696.7,8.337901798,72573923.63,3,30C,e7,0,13,3
Abd,33.18961604,24.8572201,14.32226175,16.80909876,122686405.5,1.225544429,70833046.8,3,30C,e7,0,14,3
LW,35.03461369,34.95187833,0.244983042,4.996834989,0.884753487,0.698695008,5.323025888,3,30C,e7,0,14,3
Sal,36.23130546,39.60055699,6.352565517,2.274955791,1.709668461,0.356972961,1.875907347,3,30C,e7,0,14,3
Abd,35.05309703,33.97090133,1.219412897,4.936475481,10.10205562,0.693416984,12.50121754,3,30C,e7,0,15,3
LW,22.69832451,30.07059912,6.48148538,16649.13009,9603.816316,4.221391547,5559.603404,3,30C,e7,1,15,3
Sal,37.65271938,26.47692349,15.80496212,0.893470563,1524710.614,-0.048919752,718756.072,3,30C,e7,0,15,3
Abd,41.2550577,33.1186089,14.16891856,0.083639676,477718.9628,-1.077587656,275811.253,3,30C,e7,0,16,3
LW,8.270119202,21.07451291,15.76058252,219506036.7,126405484.5,8.341446468,73547026.78,3,30C,e7,0,16,3
Sal,32.39359014,30.08367525,17.85623762,28.36965724,18644753.35,1.452854089,10764567.55,3,30C,e7,0,16,3
Abd,27.56015777,21.76700788,5.556248916,680.8756496,560277.6493,2.833067803,345045.3313,3,30C,e7,1,17,3
LW,27.55705003,34.85030677,6.636855503,682.2683626,393.3046207,2.833955233,228.1205272,3,30C,e7,1,17,3
Sal,42.79436533,26.05918584,14.55253706,0.030398659,566845.3442,-1.517145581,417071.0687,3,30C,e7,0,17,3
Abd,38.92246599,32.14031551,17.27378864,0.387701055,7828562.812,-0.411503017,4519823.044,3,30C,e7,0,18,3
LW,31.83804366,37.75343454,5.124141888,40.87836341,23.53189101,1.6114935,13.70607817,3,30C,e7,0,18,3
Sal,14.38076949,21.67523475,14.76246007,3949262.662,10108912.91,6.596516019,7698585.681,3,30C,e7,0,18,3
Abd,27.13382726,24.76643419,13.4415426,901.1744497,33394450.77,2.95480887,19280746.48,3,30C,e7,0,19,3
LW,40.38026263,29.24681196,16.25352245,0.148667138,27473757.12,-0.82778502,15861981.95,3,30C,e7,0,19,3
Sal,12.39245549,12.96648137,0.613538917,14597894.78,4027983.473,7.164290229,10546008.38,3,30C,e7,1,19,3
Abd,35.29030877,26.64647245,14.94756848,4.223571419,60826508.48,0.625679842,35118205.31,3,30C,e7,0,20,3
LW,16.83449542,23.83778514,11.63781048,786757.3741,402379.9062,5.895840822,442243.8663,3,30C,e7,0,20,3
Sal,15.45261929,28.82043682,11.9972991,1951835.878,1126884.442,6.290443297,650621.8061,3,30C,e7,0,20,3
Abd,11.93180802,27.57175695,13.54467799,91057087.1,52571740.31,7.959313753,30352470.27,7,30C,e7,0,1,1
LW,17.60712253,27.25808992,13.64852897,3700088.635,2616309.178,6.568212128,1233385.782,7,30C,e7,0,1,1
Sal,0,0,0,0,0,0,77.69755066,7,30C,e7,0,1,1
Abd,33.99474306,28.77339681,10.2959525,355.9339776,3160839.196,2.551369448,1825169.275,7,30C,e7,0,2,1
LW,36.86527224,35.71334051,1.005656243,70.4305779,68.76099402,1.847761252,148.3065082,7,30C,e7,0,2,1
Sal,0,0,0,0,0,0,52.09386876,7,30C,e7,0,2,1
Abd,36.38630561,36.67591698,0.262765179,92.29175306,11.97932506,1.965162895,78.96028139,7,30C,e7,0,3,1
LW,36.29731203,36.4225455,0.468701529,97.04574731,23.05388004,1.986976509,92.47514273,7,30C,e7,0,3,1
Sal,0,0,0,0,0,0,17473493.12,7,30C,e7,0,3,1
Abd,34.98574849,34.62245801,0.644292282,203.450935,102.5388952,2.30845969,261.6596797,7,30C,e7,0,4,1
LW,13.91623187,13.91623187,0,29710009.02,0,7.472902784,9903336.341,7,30C,e7,0,4,1
Sal,35.14878966,28.90047456,11.23956319,185.5649478,5519946.65,2.268495944,3187106.28,7,30C,e7,0,4,1
Abd,35.68713317,36.23701414,0.482823746,136.943104,29.63040457,2.136540167,103.0212588,7,30C,e7,0,5,1
LW,36.07089688,35.9888996,0.115961668,110.2742554,7.56183039,2.042474134,77.08085131,7,30C,e7,0,5,1
Sal,36.4294567,36.91016411,0.679822939,90.07119814,26.6718424,1.95458594,47.47423834,7,30C,e7,0,5,1
Abd,34.55944675,35.3627333,0.881028127,258.792932,81.08335669,2.412952411,177.7651608,7,30C,e7,0,6,1
LW,37.09945664,36.26332937,0.767409421,61.71052908,41.54481124,1.79035927,104.9309475,7,30C,e7,0,6,1
Sal,23.97290927,23.97290927,0,101827.6634,0,5.007865778,33942.55446,7,30C,e7,0,6,1
Abd,33.25475174,32.97289675,0.509228503,540.4456398,199.8783514,2.732752017,652.1707623,7,30C,e7,0,7,1
LW,36.67991213,36.92254576,0.343135764,78.19800837,13.24737479,1.893195692,45.88713321,7,30C,e7,0,7,1
Sal,35.12287166,36.00020413,0.934586678,188.2993497,61.27601344,2.27484882,125.3354521,7,30C,e7,0,7,1
Abd,35.99700383,35.17125796,0.848246099,114.9704916,93.57075691,2.060586388,197.668584,7,30C,e7,0,8,1
LW,35.72753615,35.72753615,0,133.8556827,0,2.126636813,44.61856091,7,30C,e7,0,8,1
Sal,21.76684018,32.30331015,9.135884921,353675.6834,204166.5757,5.548605201,117924.4289,7,30C,e7,1,8,1
Abd,34.9254553,34.49082578,0.622209135,5.053101449,3.595315332,0.703558017,7.42343323,7,30C,e7,0,9,2
LW,34.23904555,35.74132831,1.464795255,8.290296966,3.820833108,0.918570088,3.982119759,7,30C,e7,0,9,2
Sal,7.931817999,26.9856495,16.56266894,1442405797,832773373.5,9.159087459,480801933.9,7,30C,e7,0,9,2
Abd,32.80979453,33.48011818,0.591669015,23.24186251,6.961309892,1.366270928,15.27555094,7,30C,e7,0,10,2
LW,32.9743638,33.41465818,0.55808816,20.64053683,5.674388963,1.314720988,15.7977755,7,30C,e7,0,10,2
Sal,34.58590182,35.4459978,0.784644918,6.45535726,2.279888801,0.809920283,3.875794921,7,30C,e7,0,10,2
Abd,19.11606183,29.02545577,8.58317562,452602.8818,261304.5908,5.655717315,150874.3302,7,30C,e7,1,11,2
LW,32.49992411,32.42364349,0.233277865,29.06265094,5.384574814,1.463335226,31.00402602,7,30C,e7,0,11,2
Sal,11.59088077,26.43883447,12.86336222,103018892.3,59477978.73,8.012916876,34339638.25,7,30C,e7,0,11,2
Abd,32.56938009,32.56452168,0.076179208,27.64258948,1.529109618,1.441578724,27.7675957,7,30C,e7,0,12,2
LW,8.366642577,24.61622427,14.07513996,1054101239,608585619.5,9.022882324,351367096.1,7,30C,e7,0,12,2
Sal,16.75852837,20.9957131,14.73928864,2478533.586,432125506.1,6.394194808,250726018.5,7,30C,e7,0,12,2
Abd,30.75625784,32.74259008,1.80015368,102.2172027,51.83512332,2.009523992,42.60681169,7,30C,e7,1,13,2
LW,32.03731895,32.51533596,0.41397636,40.57349256,9.458890107,1.608242393,29.65132994,7,30C,e7,0,13,2
Sal,9.565271057,20.15572054,13.89249016,444039956.6,253889953.3,8.647422052,150916209.9,7,30C,e7,0,13,2
Abd,33.50364096,33.33962447,0.285044242,14.09059653,3.478407528,1.14892938,16.09322966,7,30C,e7,0,14,2
LW,33.26569177,32.90288635,0.522845255,16.72880647,9.247600105,1.223464957,22.84576068,7,30C,e7,0,14,2
Sal,34.13716118,26.10953231,15.06847255,8.92245792,469343853.7,0.950484508,270975806.4,7,30C,e7,0,14,2
Abd,33.89242769,33.8497902,0.387307506,10.64498889,3.186198863,1.027145212,11.26921682,7,30C,e7,0,15,2
LW,32.16594167,32.84865495,0.619696185,36.97876572,11.30951243,1.567952411,24.21018258,7,30C,e7,0,15,2
Sal,33.38502569,33.20619177,0.225466301,15.34915995,2.955798274,1.186084612,17.62031955,7,30C,e7,0,15,2
Abd,33.92031851,33.36573005,0.523733593,10.43298651,5.834191625,1.018408646,16.29526224,7,30C,e7,0,16,2
LW,30.94151862,32.43931871,1.314351823,89.43193232,41.38963858,1.951492614,41.74232069,7,30C,e7,1,16,2
Sal,33.86925528,33.96666207,0.182852826,10.82439854,1.284263183,1.034403774,10.14712945,7,30C,e7,0,16,2
Abd,35.19105485,35.39715162,0.497825202,226.2340808,54.67450974,2.354558029,206.0172683,7,30C,e7,0,17,3
LW,35.80589892,36.38249662,0.547776889,158.1073998,37.81377253,2.198952196,116.9268796,7,30C,e7,0,17,3
Sal,38.61797998,37.87587911,1.049489108,30.70900206,29.85284372,1.487265704,34.54543353,7,30C,e7,0,17,3
